0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,0,2,28,0,0,2,0,8,5,0,4,2,0,6,0,0,4,7,0,20,2,0,2,2,2,4,10,4,0,6,0,0,0,4,13,4,14,12,13,4,0,13,8,0,2,0,0,4,0,3,2,18,2,0,2,0,0,0,2,0,2
0,0,0,2,0,0,0,0,0,12,0,0,1,0,0,0,0,0,222,0,0,0,8,0,8,1,0,0,1,3,0,4,0,0,0,1,0,4,3,0,1,2,0,0,11,0,1,4,0,6,0,9,9,10,12,0,1,0,3,0,5,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,51,0,0,12,0,0,0,0,0,0,27,40,0,0,0,0,0,0,81,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,4,7,0,4,0,0,0,11,0,3,19,3,11,0,0,0,0,0,0,9,0,6,7,0,0,3,0,5,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,5,22,0,11,0,0,19,0,0,3,2,0,0,15,3,0,3,3,0,0,0,0,0,0,14,0,0,3,3,12,0,0,0,0,0,0,0,34,0,2,3,5,9,0,0,0,0,0,0,0,3
3,26,16,24,9,39,15,3,3,113,9,16,18,0,14,11,13,31,11,23,27,11,49,3,28,7,9,9,3,24,13,22,31,7,11,12,4,7,17,9,3,44,5,7,86,9,36,3,16,11,16,3,44,5,59,9,3,10,3,18,59,7,56
0,0,0,0,7,0,0,9,0,0,5,0,0,9,0,5,0,0,5,5,0,5,0,0,0,3,8,3,9,9,5,0,0,0,0,0,11,5,0,5,3,5,0,3,0,3,0,3,0,9,0,0,7,5,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,12,0,0,12,0,2,3,0,0,43,0,1,0,0,18,3,0,4,0,0,0,3,24,3,11,3,3,0,0,0,0,2,13,5,0,4,7,26,0,3,0,3,2,0,0,30,0,0,3,3,0,0,2,0,3,0,0,0,4
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,5,0,0,0,10,0,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,15,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,23,0,0,0,0,31,0,0,7,5,0,3,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,24,0,9,0,1,0,0,0,0,0,1,0,0,11,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,9,0,0,3,0,26,3,0,3,3,0,7,0,0,10,0,0,2,3,0,2,3,4,9,3,3,3,0,0,0,0,2,25,13,3,3,3,4,0,4,2,3,2,5,0,3,0,2,3,8,2,0,3,0,4,0,2,0,3
11,6,67,17,3,8,8,39,4,3,3,10,41,9,5,9,14,20,15,3,2,7,47,7,12,13,9,5,3,15,9,12,20,6,12,3,15,3,8,3,13,13,6,3,33,3,15,3,7,28,16,3,51,9,33,12,3,11,3,4,8,6,37
0,0,0,5,4,0,0,15,0,2,2,0,0,3,0,1,0,0,3,2,0,3,0,0,0,5,7,3,10,3,4,0,0,0,0,3,11,3,0,5,5,3,0,3,0,3,6,3,0,3,0,0,5,3,0,0,3,0,3,0,0,0,0
0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,15,0,0,0,11,0,13,0,0,0,0,0,10,9,0,16,0,0,0,0,0,34,0,0,13,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,9,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,5,3,7,0,0,0,0,0,0,4,0,0,3,3,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10,0,0,0,0,0,58,0,0,0,0,12,0,0,0,11,0,20,0,0,0,8,0,3,5,0,0,0,0,0,0,0,0,3,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,23,3,38,2,0,13,6,6,15,0,5,41,5,35,3,13,80,43,28,4,17,5,12,67,24,20,27,48,8,9,0,9,15,1,93,28,24,15,3,60,21,11,15,16,19,0,26,99,0,25,71,8,60,23,2,17,7,8,9,4,34
0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,38,5,0,11,0,0,0,26,13,5,5,5,0,0,0,0,0,0,45,16,0,0,6,58,0,0,0,0,0,0,0,39,0,0,5,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,3,0,2,6,0,0,0,0,0,0,5,0,0,4,4,4,0,0,0,0,0,0,0,7,0,0,1,6,0,0,0,0,0,0,0,0,0
0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,16,0,0,0,38,0,3,38,0,0,0,0,0,0,0,0,9,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,29,0,0,7,0,0,9,0,3,6,0,1,0,0,14,2,0,9,0,0,5,6,9,3,4,34,0,0,0,0,0,0,32,5,0,3,0,7,0,6,0,0,0,0,0,3,0,0,11,4,2,0,1,0,0,0,0,0,6
