0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,3,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2,0,4,13,16,2,0,10,6,45,0,4,20,13,8,0,8,9,5,0,4,3,11,4,5,17,10,3,3,4,5,2,2,4,2,0,32,3,4,8,0,13,8,11,19,4,25,8,2,20,0,5,1,3,352,6,0,23,0,5,3,7,9
0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,30,0,0,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
4,13,0,8,0,0,5,9,12,11,6,18,5,11,0,0,0,32,8,5,0,0,0,0,0,16,6,0,4,3,3,0,5,0,0,9,5,7,0,0,0,5,0,5,0,0,10,0,0,4,4,8,4,14,17,0,6,0,0,0,0,3,0
0,0,4,13,25,4,0,33,0,39,5,0,3,30,9,5,4,0,4,7,5,5,7,2,5,39,11,9,6,3,7,31,0,4,15,3,22,13,3,3,1,7,6,3,14,5,7,3,16,28,0,9,19,5,7,4,3,13,3,4,4,0,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,12,0,0,0,2,0,0,0,0,11,4,1,20,9,14,0,1,27,35,0,0,7,1,5,0,0,0,0,0,0,0,0,42,7,2,1,0,0,0,0,47,0,0,0,0,0,1,4,0,19,4,0,0,9,0,0,4,2,2
33,59,52,59,113,53,29,32,59,82,21,55,80,46,36,140,48,62,81,111,74,80,97,66,58,56,64,56,27,80,17,35,82,53,77,40,126,54,116,54,15,38,88,3,117,16,81,0,62,51,71,43,94,60,119,57,39,81,8,50,87,50,59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,1,0,4,5,0,0,3,0,1,0,0,3,3,0,3,0,0,1,3,5,3,5,3,5,0,0,0,0,0,3,3,0,14,3,3,0,3,0,5,0,3,0,3,0,0,3,16,0,0,0,0,3,0,0,0,0
